序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别,2、您的年龄段,3、您的常住地,4、您是否为澳门大学在读学生,5、您日常刷短视频的频率,6、您是否听说过以下热梗—操/草/我靠/wc,6、老己/爱你老己,6、不知道，我的身材很曼妙～,6、你/我已急哭,6、洗衣粉儿,6、心理委员我不得劲儿,6、我不行了,7、您获取网络热梗的主要渠道有哪些,8、您日常是否会使用以下热梗—操/草/我靠/wc,8、老己/爱你老己,8、不知道，我的身材很曼妙～,8、你/我已急哭,8、洗衣粉儿,8、心理委员我不得劲儿,8、我不行了,9、您通常在哪些场景下会使用网络热梗,10、您认为网络热梗对您的日常交流有何影响
25,2026/3/19 19:18:30,44秒,微信,N/A,58.249.112.39(广东-广州),女,18～30岁,中国大陆,否,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋新闻资讯┋日常交流┋综艺节目┋其他,有时会用,从来不用,从来不用,从来不用,从来不用,从来不用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,有积极影响
26,2026/3/19 19:20:25,48秒,微信,N/A,223.160.224.185(广东-深圳),女,18～30岁,中国大陆,否,有时,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,有时会用,经常会用,有时会用,有时会用,有时会用,经常会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,无影响
27,2026/3/19 19:24:15,59秒,微信,N/A,148.252.148.179(国外-英国),女,18～30岁,其他国家,否,经常,有印象,经常刷/听到,经常刷/听到,有印象,有印象,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,有时会用,有时会用,从来不用,从来不用,从来不用,有时会用,经常会用,线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
28,2026/3/19 19:27:06,46秒,微信,N/A,202.175.67.215(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,有印象,没听过,有印象,经常刷/听到,短视频平台┋社交软件┋日常交流,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
29,2026/3/19 19:27:56,41秒,微信,N/A,113.119.28.252(广东-广州),女,18岁以下,中国大陆,否,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋新闻资讯┋日常交流┋综艺节目,经常会用,经常会用,经常会用,经常会用,经常会用,经常会用,经常会用,工作沟通┋游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋特殊场合（体育赛事、演唱会等）┋社交媒体互动（发帖、评论、转发等）,无影响
30,2026/3/19 19:28:31,41秒,微信,N/A,202.175.105.114(澳门-澳门半岛),女,18～30岁,其他国家,是,有时,经常刷/听到,没听过,没听过,没听过,没听过,没听过,经常刷/听到,短视频平台┋社交软件,有时会用,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,线下闲聊┋线上私聊（微信、QQ等）,有负面影响
31,2026/3/19 19:34:03,42秒,微信,N/A,125.31.54.166(澳门-澳门半岛),女,18～30岁,港澳台地区,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,没听过,没听过,经常刷/听到,经常刷/听到,短视频平台,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,其他〖我不會使用〗,有负面影响
32,2026/3/19 19:34:16,60秒,微信,N/A,202.175.105.117(澳门-澳门半岛),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,有印象,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,经常会用,有时会用,从来不用,经常会用,从来不用,从来不用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,有积极影响
33,2026/3/19 19:34:17,60秒,微信,N/A,149.102.98.197(澳门-未知),女,18～30岁,港澳台地区,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,有时会用,从来不用,从来不用,从来不用,有时会用,经常会用,线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
34,2026/3/19 19:34:24,61秒,微信,N/A,202.175.67.55(澳门-未知),男,18～30岁,中国大陆,是,经常,经常刷/听到,有印象,有印象,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件,有时会用,从来不用,从来不用,有时会用,从来不用,有时会用,经常会用,游戏交流┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
35,2026/3/19 19:34:35,57秒,微信,N/A,202.175.67.50(澳门-未知),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,有印象,经常刷/听到,没听过,有印象,经常刷/听到,短视频平台┋社交软件,有时会用,从来不用,从来不用,有时会用,从来不用,从来不用,有时会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,无影响
36,2026/3/19 19:34:37,75秒,微信,N/A,125.31.54.167(澳门-澳门半岛),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,有时会用,经常会用,经常会用,有时会用,经常会用,经常会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
37,2026/3/19 19:34:38,26秒,微信,N/A,202.175.67.218(澳门-未知),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,其他,无影响
38,2026/3/19 19:34:46,108秒,微信,N/A,183.220.91.101(四川-成都),男,30岁以上,中国大陆,否,有时,经常刷/听到,没听过,没听过,有印象,没听过,没听过,有印象,短视频平台┋社交软件,有时会用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,线下闲聊┋线上私聊（微信、QQ等）,无影响
39,2026/3/19 19:34:51,86秒,微信,N/A,202.175.105.117(澳门-澳门半岛),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,有时会用,有时会用,从来不用,有时会用,有时会用,有时会用,有时会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
40,2026/3/19 19:34:51,67秒,微信,N/A,202.175.105.117(澳门-澳门半岛),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋新闻资讯┋日常交流┋综艺节目┋其他,经常会用,经常会用,经常会用,经常会用,经常会用,经常会用,经常会用,工作沟通┋游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋特殊场合（体育赛事、演唱会等）┋社交媒体互动（发帖、评论、转发等）┋其他,有积极影响
41,2026/3/19 19:36:06,57秒,微信,N/A,149.102.98.202(澳门-未知),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,有印象,经常刷/听到,有印象,经常刷/听到,有印象,短视频平台┋日常交流,经常会用,从来不用,从来不用,有时会用,从来不用,有时会用,从来不用,游戏交流┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有负面影响
42,2026/3/19 19:37:35,43秒,微信,N/A,202.175.67.182(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,经常会用,从来不用,经常会用,有时会用,有时会用,经常会用,线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
43,2026/3/19 19:37:53,50秒,微信,N/A,103.143.93.131(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,没听过,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,线上私聊（微信、QQ等）,无影响
44,2026/3/19 19:38:01,195秒,微信,N/A,182.93.57.130(澳门-未知),女,18～30岁,港澳台地区,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,有时会用,从来不用,从来不用,从来不用,从来不用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,有积极影响
45,2026/3/19 19:39:44,38秒,微信,N/A,125.31.54.167(澳门-澳门半岛),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,经常会用,经常会用,有时会用,有时会用,从来不用,经常会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
46,2026/3/19 19:40:00,32秒,微信,N/A,202.175.105.121(澳门-澳门半岛),女,18～30岁,中国大陆,是,经常,有印象,经常刷/听到,有印象,有印象,有印象,有印象,有印象,短视频平台,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,社交媒体互动（发帖、评论、转发等）,无影响
47,2026/3/19 19:45:07,47秒,微信,N/A,202.175.105.114(澳门-澳门半岛),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,有印象,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,有时会用,从来不用,经常会用,从来不用,有时会用,有时会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,无影响
48,2026/3/19 19:45:58,50秒,微信,N/A,103.143.93.120(澳门-未知),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,有时会用,从来不用,从来不用,从来不用,从来不用,有时会用,有时会用,工作沟通┋游戏交流┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
49,2026/3/19 19:46:42,71秒,微信,N/A,125.31.54.87(澳门-澳门半岛),女,18～30岁,中国大陆,是,几乎不,经常刷/听到,有印象,有印象,有印象,没听过,有印象,有印象,日常交流,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,其他〖不用〗,无影响
50,2026/3/19 19:47:35,77秒,微信,N/A,149.102.98.149(澳门-未知),男,18～30岁,港澳台地区,是,经常,经常刷/听到,有印象,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,有时会用,经常会用,从来不用,有时会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,无影响
51,2026/3/19 19:47:36,82秒,微信,N/A,202.175.67.187(澳门-未知),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,没听过,经常刷/听到,有印象,经常刷/听到,经常刷/听到,短视频平台┋社交软件,经常会用,从来不用,从来不用,有时会用,从来不用,从来不用,从来不用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,有积极影响
52,2026/3/19 19:49:47,44秒,微信,N/A,202.175.67.183(澳门-未知),男,18～30岁,中国大陆,是,经常,经常刷/听到,有印象,有印象,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,从来不用,从来不用,从来不用,从来不用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
53,2026/3/19 19:50:24,112秒,微信,N/A,183.9.196.176(广东-揭阳),男,18～30岁,中国大陆,否,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台,经常会用,从来不用,从来不用,有时会用,从来不用,有时会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
54,2026/3/19 19:50:25,92秒,微信,N/A,103.143.93.144(澳门-未知),女,18～30岁,港澳台地区,是,有时,经常刷/听到,有印象,经常刷/听到,有印象,没听过,有印象,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋特殊场合（体育赛事、演唱会等）,有负面影响
55,2026/3/19 19:52:36,54秒,微信,N/A,149.102.98.194(澳门-未知),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,有时会用,有时会用,经常会用,从来不用,有时会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,无影响
56,2026/3/19 19:55:30,89秒,微信,N/A,149.102.98.149(澳门-未知),男,18～30岁,港澳台地区,是,经常,经常刷/听到,有印象,有印象,有印象,没听过,没听过,经常刷/听到,短视频平台┋社交软件┋新闻资讯┋日常交流┋综艺节目,有时会用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,线下闲聊,有负面影响
57,2026/3/19 19:55:49,972秒,微信,N/A,103.143.92.40(澳门-未知),女,18～30岁,中国大陆,是,有时,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋综艺节目,有时会用,有时会用,有时会用,有时会用,有时会用,有时会用,经常会用,线下闲聊┋线上私聊（微信、QQ等）,无影响
58,2026/3/19 19:56:59,62秒,微信,N/A,149.102.98.200(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,线下闲聊┋线上私聊（微信、QQ等）,有负面影响
59,2026/3/19 19:58:54,39秒,微信,N/A,103.143.92.59(澳门-未知),男,18岁以下,港澳台地区,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,有印象,经常刷/听到,经常刷/听到,短视频平台┋社交软件,经常会用,经常会用,经常会用,经常会用,有时会用,经常会用,经常会用,工作沟通┋线下闲聊┋线上私聊（微信、QQ等）,有积极影响
60,2026/3/19 20:00:37,45秒,微信,N/A,14.24.195.16(广东-广州),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,有时会用,有时会用,经常会用,从来不用,有时会用,经常会用,工作沟通┋游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋特殊场合（体育赛事、演唱会等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
61,2026/3/19 20:05:12,73秒,微信,N/A,202.175.67.217(澳门-未知),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,经常会用,有时会用,有时会用,有时会用,有时会用,有时会用,经常会用,工作沟通┋游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有负面影响
62,2026/3/19 20:05:13,54秒,微信,N/A,202.175.67.52(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,没听过,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,有时会用,从来不用,从来不用,从来不用,从来不用,有时会用,线下闲聊┋线上私聊（微信、QQ等）,有积极影响
63,2026/3/19 20:07:04,48秒,微信,N/A,149.102.98.201(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,经常会用,有时会用,有时会用,有时会用,有时会用,经常会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,无影响
64,2026/3/19 20:08:00,76秒,微信,N/A,39.144.224.21(重庆-重庆),男,18～30岁,中国大陆,否,有时,经常刷/听到,经常刷/听到,有印象,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,有负面影响
